Id	quartile	guideScore	mfe	gq	dr	result
KRAS-67	3	0.6579019518636696	-7.8	0	0	((.((((....((((.........)))).......)))).)).(((((((...))))))).... ( -7.80)
KRAS-68	3	0.7755805947671568	-8.9	0	0	(.(((((....((((.........)))).))))).)...........(((((.......))))) ( -8.90)
KRAS-69	4	1.1240107885936381	-11.8	0	0	.....(((((.((((.........)))).......((((.((......)).)))).)))))... (-11.80)
KRAS-70	3	0.8919098204312967	-8.7	0	0	....................(((.((((((((.........)))))))).)))........... ( -8.70)
KRAS-71	1	-0.3240365542961897	-10.9	0	0	.......(((.((((((((....................))))))))..)))............ (-10.90)
KRAS-72	3	0.72772250961568	-11.7	0	0	(.(((((....((((.........)))).))))).)(((((....)))))(((((...))))). (-11.70)
KRAS-73	3	0.6658229922499059	-11.1	0	1	..(((((....((((.........)))).)))))....(((.(((.((......)).))).))) (-11.10)
KRAS-74	4	0.9919562396531207	-7.4	0	0	(.(((((....((((.........)))).))))).)((((....))))................ ( -7.40)
KRAS-75	4	0.9928969028080491	-7.6	0	0	...........((((.........))))....(((((((.........)))))))......... ( -7.60)
KRAS-76	3	0.7397936969405978	-6.9	0	0	(.(((((....((((.........)))).))))).)............................ ( -6.90)
KRAS-77	3	0.8589071413249698	-9.0	0	0	...........((((.........))))((((........)))).......(((......))). ( -9.00)
KRAS-78	2	0.4591712036379383	-7.8	0	1	..(((((....((((.........)))).)))))......((((((((.......)))))))). ( -7.80)
KRAS-80	3	0.721051791193144	-7.3	0	0	(.(((((....((((.........)))).))))).).((((..............))))..... ( -7.30)
KRAS-81	2	0.5060655613041845	-6.7	0	1	..(((((....((((.........)))).))))).............................. ( -6.70)
KRAS-82	4	1.773146979467275	-7.3	0	0	(.(((((....((((.........)))).))))).)((((.......))))............. ( -7.30)
KRAS-84	1	-0.5851671774074984	-10.9	0	0	..(((((....((((.........)))).)))))((((....((((...))))....))))... (-10.90)
KRAS-85	4	3.9835540551943134	-7.2	0	0	(((....((((((((.........)))).............))))....)))............ ( -7.20)
KRAS-86	2	0.37824459462862886	-12.7	0	1	..(((((....((((.........)))).))))).....(((((.(....).)))))....... (-12.70)
KRAS-87	4	1.194602683222819	-9.6	0	0	(.(((((....((((.........)))).))))).).........((((......))))..... ( -9.60)
KRAS-88	2	0.34790140508063044	-10.2	0	1	..(((((....((((.........)))).)))))...(((((.......))))).......... (-10.20)
KRAS-90	1	0.14583587595433853	-12.8	0	1	..(((((....((((.........)))).)))))....((.(((.((......))))).))... (-12.80)
KRAS-91	1	0.14162842951431706	-17.5	0	1	..(((((....((((.........)))).)))))..(((.((((..........)))).))).. (-17.50)
KRAS-92	1	-0.5212357487564628	-9.9	0	0	(.(((((....((((.........)))).))))).)...((.((....)).))........... ( -9.90)
